genotipo,placa,experimento,id_planta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15, is_curly
wt,1,I,1,0,1,1.5,2.5,2.5,5,11,17,24,28,32,38,41,45,50.0,curly
wt,1,I,2,0,1,1.5,2,3.5,5.5,9,14.5,19,24,27,34,40,47,50.0,
wt,1,I,3,0,2,2.5,4.5,8,13,19,26,33,41,46,58,66,73,79.0,
wt,1,I,4,0,0.5,1,2,3,5,9,10,11,15,19,26,31,36,42.0,curly
wt,1,I,5,0,1,3,6,10,14,21.5,28,35,41,47,54,61,66,71.0,
wt,1,I,6,0,1,2,4.5,8,13,20,26,34,40,44,5,51,60,60.0,
sa,1,I,7,0,2,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
sa,1,I,8,0,2,4.5,7,11,17,23,31,39,47,52,65,70,85,90.0,
sa,1,I,9,0,2,4,6,9.5,14,19,25,31,37,40,51,60,70,75.0,
sa,1,I,10,0,1.5,3,6,9,13,19,25.5,32,38,47,52,63,67,75.0,
sa,1,I,11,0,1.5,4,7,10.5,15.5,22,29,36,42,48,56,63,73,76.0,
sa,1,I,12,0,1,4,7,10,15,21,28,34,42,43,51,56,65,65.0,
wt,2,I,13,0,1.5,2,3.5,6,10,15,21,27,35,40,50,53,60,60.0,
wt,2,I,14,0,0.5,1,1.5,2,3,8,14,20,26,28,36,40,46,48.0,curly
wt,2,I,15,0,0.5,2,2,2,2,3,3,3,6,7,19,22,25,30.0,curly
wt,2,I,16,0,1,2.5,5,8,13,19,26,32,40,45,56,63,71,80.0,
wt,2,I,17,0,1,2,4,6,6.5,6.5,13,19,25,30,37,42,47,47.0,curly
wt,2,I,18,0,1,3,5.5,9,13,18,19,26,31,36,43,50,55,70.0,curly
sa,2,I,19,0,1.5,4,6.5,10,16,22,30,39,48,54,65,70,82,75.0,
sa,2,I,20,0,1.5,3,5.5,9,13.5,20,26,34,42,48,58,80,86,90.0,
sa,2,I,21,0,1.5,3,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,
sa,2,I,22,0,1.5,3,4.5,5.5,8,12.5,18,23,28,31,40,49,51,60.0,
sa,2,I,23,0,1,2,2,2.5,2.5,2.5,5,11,19,23,32,43,56,60.0,curly
sa,2,I,24,0,1,2,3,4.5,8,11.5,16,22,27,31,40,46,53,56.0,
wt,3,I,25,0,1,1.5,2,2,2,2,2,2,2,2,2,2,2,2.0,
wt,3,I,26,0,0.1,2,4.5,6.5,10,13,18,21,25,29,35,40,45,47.0,
wt,3,I,27,0,1,1,1.5,2.5,5,10,15,19,25,30,37,41,51,55.0,
wt,3,I,28,0,0.1,2,3.5,7,12,18,25,31,38,43,49,53,58,59.0,
wt,3,I,29,0,2,2.5,5,9,13.5,20,27,35,43,50,59,69,72,81.0,
wt,3,I,30,0,1,2.5,3.5,4,6.5,10,15,20,24,28,36,41,48,50.0,
sa,3,I,31,0,2,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4.0,
sa,3,I,32,0,1.5,3.5,5,9,14,19.5,26,34,41,47,56,64,75,79.0,
sa,3,I,33,0,1.5,3.5,6,10,15,20.5,28,35,43,47,56,67,76,82.0,
sa,3,I,34,0,2,3,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,
sa,3,I,35,0,0.5,2,2,2,2.5,2.5,5,11,18,22,28,31,35,40.0,curly
sa,3,I,36,0,1,2,2.5,5,10,16,23,27,34,36,44,49,55,60.0,curly
wt,4,II,37,0.1,1,3.5,6,8,13,19,26,34,39,45,50,55,57,65,curly
wt,4,II,38,0,1,3,5.5,9,14,18.5,25,32,38,48,56,65,65,75,
wt,4,II,39,0,1,2,2.5,3,6,10,14,18,21,26,29,35,38,43,
wt,4,II,40,0,1,2,2.5,2.5,3.5,7,12,18,22,29,36,42,45,54,
wt,4,II,41,0,0.5,2,5,8,12,17,23,30,36,47,54,61,66,70,
wt,4,II,42,0,1,3.5,6.5,10,14,20,25,31.5,37,45,52,62,63,68,
sa,4,II,43,0,1,2,3.5,6,11,16.5,22,27,30,32,33,39,45,55,curly
sa,4,II,44,0,1,4.5,9,14,20,28,34,41,45,55,62,70,75,75,
sa,4,II,45,0,1.5,3.5,7,11,17,23,30,34,33,34,33,35,35,35,
sa,4,II,46,0,1,4.5,8.5,14,19.5,26,32,41,45,53,57,67,70,70,
sa,4,II,47,0,1,3,4.5,5.5,7.5,10.5,13,16,17,15,18,19,19,25,
sa,4,II,48,0.1,2,3.5,4,4,4,4,4,5,5,5,5,5,5,5,
wt,5,II,49,0,1,3,6.5,10,14,21,28,36,42,53,70,75,80,90,
wt,5,II,50,0,1,3,6,10,15,22,29,35,41,53,59,70,75,90,
wt,5,II,51,0,1.5,3,6.5,11,16,23,31,39,45,55,61,73,80,90,
wt,5,II,52,0,1,3.5,7,12,16,20,29,35,40,49,55,65,67,70,curly
wt,5,II,53,0,1,1.5,1.5,3,7,13,18,24,28,36,43,51,56,63,
wt,5,II,54,0,1,3,5,8.5,13,19,25,34,40,50,59,70,79,80,
sa,5,II,55,0.1,0.5,3,6,9,13.5,18,24,30,36,42,44,60,65,70,
sa,5,II,56,0,1.5,4.5,9,13.5,19.5,26,34,43,49,60,69,81,80,90,
sa,5,II,57,0,1.5,3.5,6.5,11,16.5,23,30,38,43,54,68,73,90,90,
sa,5,II,58,0,2,5,8.5,12.5,19,25,33,41,46,58,67,79,88,95,
sa,5,II,59,0.1,1.5,4.5,5.5,7,10,14,18,24,27,34,39,49,54,94,
sa,5,II,60,0,1.5,3,3,3,3,3,3,3,3,3,3,3,3,3,curly
wt,6,II,61,0,1,2,2.5,5,9.5,14,19,26,31,40,46,51,-,-,
wt,6,II,62,0,0.5,2.5,6.5,11,16.5,24,32,40,46,55,59,62,-,-,
wt,6,II,63,0,0.5,2.5,1.5,4,7.5,7.5,11,18,24,33,38,47,-,-,curly
wt,6,II,64,0,1,3,4,7,10,10,16,23,30,38,43,46,-,-,curly
wt,6,II,65,0,0.75,2.5,5,8,12,18,24,31,36,46,50,52,-,-,
wt,6,II,66,,0.75,2,4,8,13,19,25,33,40,49,54,57,-,-,
sa,6,II,67,0,2,4.5,7.5,12,17.5,24,31,40,46,57,63,72,-,-,
sa,6,II,68,0,1,3,5,7.5,12,18,23,30,35,46,54,59,-,-,
sa,6,II,69,0.1,1,3,3,3,3,4,4,5,10,20,27,35,-,-,curly
sa,6,II,70,0,1.5,2,4,7,11,15,21,27,33,42,52,56,-,-,curly
sa,6,II,71,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-,-,
sa,6,II,72,0,1.5,3.5,7,11,11,22,29,37,43,54,59,65,-,-,
wt,7,III,73,0,1,2.5,4,7.5,11.5,17,22,26,32,37,44,50,50,,
wt,7,III,74,0,0.5,3.5,6.5,10,14,20,25,30,35,41,49,54,60,,
wt,7,III,75,0,1,4,7,11,15,21,26,30,39,43,49,53,59,,
wt,7,III,76,0,1,3,6,9,13,18,23,27,35,40,49,55,62,,
wt,7,III,77,0,0.5,3,3,3,3,3,3,3,3,3,3,3,3,,
wt,7,III,78,0,0,2,4,7,10,14,20,23,30,35,42,47,54,,
sa,7,III,79,0,0.5,2.5,5,8,12,16,21,26,32,41,50,55,60,,
sa,7,III,80,0,1,4.5,7,10,14,20,24,28,36,44,21,60,65,,
sa,7,III,81,0,1,4.5,7.5,10.5,15,20,25,29,36,41,50,51,66,,
sa,7,III,82,0,1,3,6,8,12,17,21.5,25,31,38,47,52,56,,
sa,7,III,83,0,1,4.5,8,12,17,22,28,32,41,48,57,62,73,,
sa,7,III,84,0,1,4,6.5,9,11,15,18,21,27,31,36,41,45,,
wt,8,III,85,0,0.5,2.5,5,8,12,15,21,25,30,36,36,-,-,-,
wt,8,III,86,0,1,3,5.5,8.5,14,19,24,30,37,42,45,-,-,-,
wt,8,III,87,0,1,2.5,3.5,7,12,17,22,26,35,42,47,-,-,-,
wt,8,III,88,0,0.25,1,1.5,1.5,1.5,1.5,3,3,9,11,12,-,-,-,
wt,8,III,89,0,1,3,3,4,6,11,15,19,23,24,25,-,-,-,
wt,8,III,90,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,
sa,8,III,91,0,1.25,4,7.5,12,17,22,27,32,40,44,46,-,-,-,
sa,8,III,92,0,1.25,4,7,10,16,20,25,28,35,40,46,-,-,-,
sa,8,III,93,0,1,4,6,10,14,19,24,28,35,37,41,-,-,-,
