genotipo,placa,experimento,id_planta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
wt,1,A,1,0,2,3,5,7,8.5,-,-,-,,,,,,
wt,1,A,2,0,0.5,2.5,6,8.5,10,-,-,-,,,,,,
wt,1,A,3,0,1.5,4,8,11,13,15,18,-,,,,,,
wt,1,A,4,0,0,0.5,2.5,5.5,8.5,10,12,20,,,,,,
wt,1,A,5,0,0.5,2,2.5,3,4,5,6,13,,,,,,
wt,1,A,6,0,0.5,1.5,4,7,10.5,14,18,20,,,,,,
wt,1,A,7,0,0.5,1.5,4.5,5,6,8,8,9,,,,,,
sa,1,A,8,0,0.1,1,4,7.5,10,12,14,19,,,,,,
sa,1,A,9,0,0.5,2,6,10,13,16,20,25,,,,,,
sa,1,A,10,0,0.25,1.5,2,5.5,9,11,15,18,,,,,,
sa,1,A,11,0,0,0,0,0,0,0,0,0,,,,,,
sa,1,A,12,0,0,0,1,2.5,5,9,12,15,,,,,,
sa,1,A,13,0,2,2,4.5,5.5,5.5,5.5,6,6,,,,,,
sa,1,A,14,0,0.75,2,4,6.5,11,14,19,24,,,,,,
wt,2,A,15,0,0.5,1.5,4.5,7.5,10,10,11,14,,,,,,
wt,2,A,16,0,0.5,1.5,5,5,7,9,9,9,,,,,,
wt,2,A,17,0,0.5,1.5,3.5,5.5,7,9,10,10,,,,,,
wt,2,A,18,0,0.5,1.5,4,4,5,5,7,9,,,,,,
wt,2,A,19,0,0.25,1,3.5,4.5,4.5,7,8,10,,,,,,
wt,2,A,20,0,1.5,1.5,4,5.5,6,7,7,10,,,,,,
wt,2,A,21,0,0.1,0.5,3.5,4.5,4.5,4.5,5,6,,,,,,
sa,2,A,22,0,1,1.5,4,6.5,8,10,11,15,,,,,,
sa,2,A,23,0,1,1.5,5.5,8.5,11,12,14,16,,,,,,
sa,2,A,24,0,0.1,0.5,2,4.5,7.5,9,11,12,,,,,,
sa,2,A,25,0,0.5,1.5,5,8.5,12,12,14,15,,,,,,
sa,2,A,26,0,1,1.25,4,12.5,10.5,11,13,17,,,,,,
sa,2,A,27,0,0,0,1,2,4.5,5,6,6,,,,,,
sa,2,A,28,0,1,1.5,4,6.5,9,9,11,11,,,,,,
