genotipo,placa,experimento,id_planta,dia,largo
wt,1,I,1,1,0.0
wt,1,I,2,1,0.0
wt,1,I,3,1,0.0
wt,1,I,4,1,0.0
wt,1,I,5,1,0.0
wt,1,I,6,1,0.0
sa,1,I,7,1,0.0
sa,1,I,8,1,0.0
sa,1,I,9,1,0.0
sa,1,I,10,1,0.0
sa,1,I,11,1,0.0
sa,1,I,12,1,0.0
wt,2,I,13,1,0.0
wt,2,I,14,1,0.0
wt,2,I,15,1,0.0
wt,2,I,16,1,0.0
wt,2,I,17,1,0.0
wt,2,I,18,1,0.0
sa,2,I,19,1,0.0
sa,2,I,20,1,0.0
sa,2,I,21,1,0.0
sa,2,I,22,1,0.0
sa,2,I,23,1,0.0
sa,2,I,24,1,0.0
wt,3,I,25,1,0.0
wt,3,I,26,1,0.0
wt,3,I,27,1,0.0
wt,3,I,28,1,0.0
wt,3,I,29,1,0.0
wt,3,I,30,1,0.0
sa,3,I,31,1,0.0
sa,3,I,32,1,0.0
sa,3,I,33,1,0.0
sa,3,I,34,1,0.0
sa,3,I,35,1,0.0
sa,3,I,36,1,0.0
wt,4,II,37,1,0.1
wt,4,II,38,1,0.0
wt,4,II,39,1,0.0
wt,4,II,40,1,0.0
wt,4,II,41,1,0.0
wt,4,II,42,1,0.0
sa,4,II,43,1,0.0
sa,4,II,44,1,0.0
sa,4,II,45,1,0.0
sa,4,II,46,1,0.0
sa,4,II,47,1,0.0
sa,4,II,48,1,0.1
wt,5,II,49,1,0.0
wt,5,II,50,1,0.0
wt,5,II,51,1,0.0
wt,5,II,52,1,0.0
wt,5,II,53,1,0.0
wt,5,II,54,1,0.0
sa,5,II,55,1,0.1
sa,5,II,56,1,0.0
sa,5,II,57,1,0.0
sa,5,II,58,1,0.0
sa,5,II,59,1,0.1
sa,5,II,60,1,0.0
wt,6,II,61,1,0.0
wt,6,II,62,1,0.0
wt,6,II,63,1,0.0
wt,6,II,64,1,0.0
wt,6,II,65,1,0.0
sa,6,II,67,1,0.0
sa,6,II,68,1,0.0
sa,6,II,69,1,0.1
sa,6,II,70,1,0.0
sa,6,II,71,1,0.0
sa,6,II,72,1,0.0
wt,7,III,73,1,0.0
wt,7,III,74,1,0.0
wt,7,III,75,1,0.0
wt,7,III,76,1,0.0
wt,7,III,77,1,0.0
wt,7,III,78,1,0.0
sa,7,III,79,1,0.0
sa,7,III,80,1,0.0
sa,7,III,81,1,0.0
sa,7,III,82,1,0.0
sa,7,III,83,1,0.0
sa,7,III,84,1,0.0
wt,8,III,85,1,0.0
wt,8,III,86,1,0.0
wt,8,III,87,1,0.0
wt,8,III,88,1,0.0
wt,8,III,89,1,0.0
wt,8,III,90,1,0.0
sa,8,III,91,1,0.0
sa,8,III,92,1,0.0
sa,8,III,93,1,0.0
sa,8,III,94,1,0.0
sa,8,III,95,1,0.0
sa,8,III,96,1,0.0
wt,9,III,97,1,0.0
wt,9,III,98,1,0.1
wt,9,III,99,1,0.0
wt,9,III,100,1,0.0
wt,9,III,101,1,0.0
wt,9,III,102,1,0.0
sa,9,III,103,1,0.0
sa,9,III,104,1,0.0
sa,9,III,105,1,0.0
sa,9,III,106,1,0.0
sa,9,III,107,1,0.0
sa,9,III,108,1,0.0
wt,10,IV,109,1,0.0
wt,10,IV,110,1,0.1
wt,10,IV,111,1,0.1
wt,10,IV,112,1,0.1
wt,10,IV,113,1,0.0
wt,10,IV,114,1,0.0
sa,10,IV,115,1,0.25
sa,10,IV,116,1,0.0
sa,10,IV,117,1,0.0
sa,10,IV,118,1,0.0
sa,10,IV,119,1,0.0
sa,10,IV,120,1,0.0
wt,11,IV,121,1,0.1
wt,11,IV,122,1,0.0
wt,11,IV,123,1,0.0
wt,11,IV,124,1,0.0
wt,11,IV,125,1,0.0
wt,11,IV,126,1,0.0
sa,11,IV,127,1,0.0
sa,11,IV,128,1,0.0
sa,11,IV,129,1,0.0
sa,11,IV,130,1,0.0
sa,11,IV,131,1,0.25
sa,11,IV,132,1,0.1
wt,1,I,1,2,1.0
wt,1,I,2,2,1.0
wt,1,I,3,2,2.0
wt,1,I,4,2,0.5
wt,1,I,5,2,1.0
wt,1,I,6,2,1.0
sa,1,I,7,2,2.0
sa,1,I,8,2,2.0
sa,1,I,9,2,2.0
sa,1,I,10,2,1.5
sa,1,I,11,2,1.5
sa,1,I,12,2,1.0
wt,2,I,13,2,1.5
wt,2,I,14,2,0.5
wt,2,I,15,2,0.5
wt,2,I,16,2,1.0
wt,2,I,17,2,1.0
wt,2,I,18,2,1.0
sa,2,I,19,2,1.5
sa,2,I,20,2,1.5
sa,2,I,21,2,1.5
sa,2,I,22,2,1.5
sa,2,I,23,2,1.0
sa,2,I,24,2,1.0
wt,3,I,25,2,1.0
wt,3,I,26,2,0.1
wt,3,I,27,2,1.0
wt,3,I,28,2,0.1
wt,3,I,29,2,2.0
wt,3,I,30,2,1.0
sa,3,I,31,2,2.0
sa,3,I,32,2,1.5
sa,3,I,33,2,1.5
sa,3,I,34,2,2.0
sa,3,I,35,2,0.5
sa,3,I,36,2,1.0
wt,4,II,37,2,1.0
wt,4,II,38,2,1.0
