genotipo,placa,experimento,id_planta,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
wt,1,I,1,0,0,0,0,0,0,0,0,1,4,9,14,17,20,23
wt,1,I,2,0,0,0,0,0,0,0,0,1,1,1,6,8,14,15
wt,1,I,3,0,0,0,0,0,0,0,2,4,8,10,18,22,28,28
wt,1,I,4,0,0,0,0,0,0,1,1,1,1,3,5,10,11,17
wt,1,I,5,0,0,0,0,0,0,1,1,6,12,13,17,24,27,34
wt,1,I,6,0,0,0,0,0,0,0,4,6,12,17,21,29,34,35
sa,1,I,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa,1,I,8,0,0,0,0,0,0,2,2,6,8,12,19,24,33,37
sa,1,I,9,0,0,0,0,0,0,2,2,3,5,8,9,14,16,21
sa,1,I,10,0,0,0,0,0,0,0,1,3,6,15,23,12,15,18
sa,1,I,11,0,0,0,0,0,0,2,4,6,12,15,21,30,37,38
sa,1,I,12,0,0,0,0,0,0,0,2,8,9,15,20,25,31,34
wt,2,I,13,0,0,0,0,0,0,0,0,2,3,8,11,14,18,20
wt,2,I,14,0,0,0,0,0,0,0,0,1,8,11,13,20,24,28
wt,2,I,15,0,0,0,0,0,0,0,0,1,4,5,9,9,15,19
wt,2,I,16,0,0,0,0,0,0,0,3,4,8,10,14,22,26,29
wt,2,I,17,0,0,0,0,0,0,0,1,2,4,5,11,17,22,25
wt,2,I,18,0,0,0,0,0,0,0,1,5,8,8,16,18,27,31
sa,2,I,19,0,0,0,0,0,0,2,5,7,13,15,20,27,32,37
sa,2,I,20,0,0,0,0,0,0,1,1,5,9,9,14,19,25,27
sa,2,I,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa,2,I,22,0,0,0,0,0,0,0,0,0,0,0,2,6,7,11
sa,2,I,23,0,0,0,0,0,0,0,0,6,9,9,14,18,23,30
sa,2,I,24,0,0,0,0,0,0,0,0,0,1,3,5,7,8,11
wt,3,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wt,3,I,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wt,3,I,27,0,0,0,0,0,0,0,0,1,2,4,6,7,13,15
wt,3,I,28,0,0,0,0,0,0,0,1,3,9,16,20,26,32,33
wt,3,I,29,0,0,0,0,0,0,1,2,4,8,13,20,26,26,28
wt,3,I,30,0,0,0,0,0,0,0,0,1,2,2,9,14,16,19
sa,3,I,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa,3,I,32,0,0,0,0,0,0,1,3,6,6,8,13,20,24,28
sa,3,I,33,0,0,0,0,0,0,1,2,7,9,13,15,23,28,30
sa,3,I,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
