,,,,,
genotipo,placa,id_planta,largo_raiz_inicial,largo_raiz_final,supervivencia
wt,1,1,11,11,no
wt,1,2,12,13,no
wt,1,3,10,12,no
wt,1,4,11,11,no
wt,1,5,17,19,no
sa,1,6,6,7,no
sa,1,7,17,20,si
sa,1,8,11,11,si
sa,1,9,12,12,no
sa,1,10,9,13,no
sa,1,11,12,18,si
sa,1,12,11,13,si
wt,2,13,10,13,si
wt,2,14,13,14,si
wt,2,15,16,18,no
wt,2,16,12,14,si
wt,2,17,8,12,si
wt,2,18,10,10,si
sa,2,19,11,11,si
sa,2,20,10,13,si
sa,2,21,12,13,si
sa,2,22,15,15,si
sa,2,23,11,15,si
wt,3,24,11,26,si
wt,3,25,9,16,si
wt,3,26,13,18,si
wt,3,27,14,19,si
wt,3,28,10,14,si
sa,3,29,8,13,si
sa,3,30,13,16,si
sa,3,31,11,13,no
sa,3,32,15,17,si
sa,3,33,18,22,no
sa,3,34,12,17,no
sa,3,35,15,16,si
wt,4,36,12,15,si
wt,4,37,11,11,si
wt,4,38,9,10,si
wt,4,39,11,20,si
wt,4,40,7,12,no
wt,4,41,11,12,si
sa,4,42,15,18,si
sa,4,43,10,13,si
sa,4,44,5,7,si
sa,4,45,13,15,no
sa,4,46,10,10,si
sa,4,47,15,18,no
